gene,number,cluster
BAZ2A,11176,1
WDR6,11180,1
MAP4K1,11184,1
NISCH,11188,1
CEP250,11190,1
SEC23IP,11196,1
SUPT16H,11198,1
KLK8,11202,1
FZD10,11211,1
AKAP10,11216,1
PRAF2,11230,1
GPR45,11250,1
HRH3,11255,1
SYNRG,11276,1
TREX1,11277,1
KLF12,11278,1
KLF8,11279,1
SCN11A,11280,1
POU6F2,11281,1
RBPJL,11317,1
CASC3,22794,1
COG2,22796,1
XRN2,22803,1
PUF60,22827,1
RBM16,22828,1
KIAA1009,22832,1
DLGAP4,22839,1
PPM1E,22843,1
ZNF507,22847,1
AAK1,22848,1
LMTK2,22853,1
NLRP1,22861,1
FNDC3A,22862,1
KIAA0831,22863,1
MLXIP,22877,1
MORC2,22880,1
WDR37,22884,1
FOXJ3,22887,1
ZBTB1,22890,1
BTBD3,22903,1
EPN2,22905,1
WDR47,22911,1
MAPRE1,22919,1
AKR7A3,22977,1
EFR3B,22979,1
NINL,22981,1
MAST1,22983,1
PDCD11,22984,1
ACIN1,22985,1
SV2C,22987,1
MYH15,22989,1
PCNX,22990,1
DAAM1,23002,1
SPEN,23013,1
CNOT1,23019,1
SNRNP200,23020,1
TMCC1,23023,1
UNC13A,23025,1
MYO16,23026,1
KDM1A,23028,1
KDM4B,23030,1
MAST3,23031,1
DOPEY1,23033,1
ZNF292,23036,1
NCOA6,23054,1
WAPAL,23063,1
CAND2,23066,1
SETD1B,23067,1
ERP44,23071,1
RRP1B,23076,1
MYCBP2,23077,1
PPRC1,23082,1
ERC1,23085,1
ZNF423,23090,1
TTLL5,23093,1
KIF1B,23095,1
CDK19,23097,1
SARM1,23098,1
MCF2L2,23101,1
DDN,23109,1
TNRC6B,23112,1
CUL9,23113,1
TAB2,23118,1
POGZ,23126,1
GPATCH8,23131,1
RAD54L2,23132,1
PHF8,23133,1
KDM6B,23135,1
NACAD,23148,1
CIC,23152,1
MAPK8IP3,23162,1
CEP68,23177,1
PASK,23178,1
DIP2A,23181,1
MDN1,23195,1
PSME4,23198,1
FAM168A,23201,1
SYT11,23208,1
RRP12,23223,1
EXOC6B,23233,1
ARC,23237,1
KIAA0556,23247,1
OTUD3,23252,1
KAZ,23254,1
DNMBP,23268,1
MGA,23269,1
TSPYL4,23270,1
KLHL18,23276,1
ANKS1A,23294,1
EHBP1,23301,1
TMEM194A,23306,1
SIN3B,23309,1
CUX2,23316,1
DNAJC13,23317,1
ZCCHC11,23318,1
KIAA1033,23325,1
USP22,23326,1
SASH1,23328,1
TTC28,23331,1
CLASP1,23332,1
DNAJC16,23341,1
ESYT1,23344,1
SYNE1,23345,1
KIAA1045,23349,1
KHNYN,23351,1
UBR4,23352,1
PSD3,23362,1
CRTC1,23373,1
SRGAP2,23380,1
KIAA0892,23383,1
MED13L,23389,1
ZDHHC17,23390,1
ADNP,23394,1
NCAPH,23397,1
PPWD1,23398,1
DICER1,23405,1
KCNH4,23415,1
TMED3,23423,1
RHOQ,23433,1
ATP1B4,23439,1
SF3B1,23451,1
CBX5,23468,1
ETHE1,23474,1
BRD4,23476,1
SEC61G,23480,1
ZFYVE26,23503,1
TMEM131,23505,1
TTC9,23508,1
POFUT1,23509,1
SUZ12,23512,1
MYST4,23522,1
SRRM2,23524,1
ZNF281,23528,1
TNPO3,23534,1
RBM9,23543,1
ATP6V0A2,23545,1
WBP2,23558,1
AMACR,23600,1
CORO1C,23603,1
ZMYND8,23613,1
PPY2,23614,1
PYY2,23615,1
FAM89B,23625,1
